"doi","farm_type","host","percent_resistant"
"DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle",22
"DOI: 10.1089/107662903322541883","Conventional","Cattle",15
"DOI: 10.1089=fpd.2010.0632","Conventional","Cattle",5
"DOI: 10.2460/javma.228.7.1074","Conventional","Cattle",10
"DOI: 10.3168/jds.S0022-0302(06)72271-8","Conventional","Cattle",13
"DOI: 10.3390/antibiotics9110834","Conventional","Cattle",11
"DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle",15
"doi: 10.4315/0362-028x-69.3.482.","Conventional","Cattle",9
"doi.org/10.1080/11358120902907014","Conventional","Cattle",18
"doi.org/10.3168/jds.2017-12939","Conventional","Cattle",33
"doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle",2
"https://doi.org/10.1111/j.1365-2672.2007.03681.x","Conventional","Cattle",18
"https://doi.org/10.5713/ajas.2010.90345","Conventional","Cattle",45
"www.researchgate.net/publication/288728634","Conventional","Cattle",14
"DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle",16
"DOI: 10.1089/107662903322541883","Organic","Cattle",9
"DOI: 10.1089=fpd.2010.0632","Organic","Cattle",4
"DOI: 10.2460/javma.228.7.1074","Organic","Cattle",9
"DOI: 10.3168/jds.S0022-0302(06)72271-8","Organic","Cattle",8
"DOI: 10.3390/antibiotics9110834","Organic","Cattle",12
"DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle",12
"doi: 10.4315/0362-028x-69.3.482.","Organic","Cattle",7
"doi.org/10.1080/11358120902907014","Organic","Cattle",12
"doi.org/10.3168/jds.2017-12939","Organic","Cattle",31
"doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle",6
"https://doi.org/10.1111/j.1365-2672.2007.03681.x","Organic","Cattle",9
"https://doi.org/10.5713/ajas.2010.90345","Organic","Cattle",14
"PMID: 24053020","Organic","Cattle",7
"www.researchgate.net/publication/288728634","Organic","Cattle",2
"DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken",25
"DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken",28
"DOI: 10.1089/fpd.2010.0566","Conventional","Chicken",26
"DOI: 10.1089/fpd.2011.0852","Conventional","Chicken",10
"DOI: 10.1089/fpd.2016.2161","Conventional","Chicken",29
"DOI: 10.1089=fpd.2008.0171","Conventional","Chicken",16
"DOI: 10.1111/j.1863-2378.2008.01151.x","Conventional","Chicken",6
"DOI: 10.1111/j.1863-2378.2008.01229.x","Conventional","Chicken",10
"doi: 10.1128/AEM.71.7.4108-4111.2005","Conventional","Chicken",22
"DOI: 10.1128/AEM.72.5.3600-3607.2006","Conventional","Chicken",49
"DOI: 10.3382/ps/pex275","Conventional","Chicken",22
"doi: 10.3389/fvets.2021.607491","Conventional","Chicken",39
"doi: 10.3390/ani10071215","Conventional","Chicken",49
"DOI: 10.3390/ani10122217","Conventional","Chicken",76
"doi: 10.3390/antibiotics9100701","Conventional","Chicken",12
"DOI: 10.4315/0362-028x-70.4.1021","Conventional","Chicken",14
"DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken",22
"DOI: 10.4315/0362-028x-72.6.1165","Conventional","Chicken",11
"DOI: 10.4315/0362-028X.JFP-14-322","Conventional","Chicken",6
"DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken",3
"doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken",43
"doi.org/10.1016/j.ijfoodmicro.2019.108391","Conventional","Chicken",53
"doi.org/10.3390/antibiotics10111321","Conventional","Chicken",42
"doi.org/10.3390/pathogens10121630","Conventional","Chicken",8
"dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken",6
"http://dx.doi.org/10.1155/2015/618752","Conventional","Chicken",37
"https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken",37
"https://doi.org/10.1016/j.japr.2021.100158","Conventional","Chicken",22
"DOI: 10.1016/j.ijantimicag.2005.09.020","Organic","Chicken",50
"DOI: 10.1016/j.prevetmed.2019.104755","Organic","Chicken",13
"DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken",17
"DOI: 10.1089/fpd.2010.0566","Organic","Chicken",18
"DOI: 10.1089/fpd.2011.0852","Organic","Chicken",6
"DOI: 10.1089/fpd.2016.2161","Organic","Chicken",23
"DOI: 10.1089=fpd.2008.0171","Organic","Chicken",12
"DOI: 10.1111/j.1863-2378.2008.01151.x","Organic","Chicken",3
"DOI: 10.1111/j.1863-2378.2008.01229.x","Organic","Chicken",6
"DOI: 10.1111/jfs.12588","Organic","Chicken",14
"doi: 10.1128/AEM.71.7.4108-4111.2005","Organic","Chicken",21
"DOI: 10.1128/AEM.72.5.3600-3607.2006","Organic","Chicken",15
"doi: 10.3382/ps.2013-03729.","Organic","Chicken",62
"DOI: 10.3382/ps/pex275","Organic","Chicken",17
"doi: 10.3389/fvets.2021.607491","Organic","Chicken",12
"doi: 10.3390/ani10071215","Organic","Chicken",33
"DOI: 10.3390/ani10122217","Organic","Chicken",78
"doi: 10.3390/antibiotics9100701","Organic","Chicken",5
"DOI: 10.4315/0362-028x-70.4.1021","Organic","Chicken",4
"DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken",16
"DOI: 10.4315/0362-028x-72.6.1165","Organic","Chicken",4
"DOI: 10.4315/0362-028X.JFP-14-322","Organic","Chicken",8
"DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken",12
"DOI: 10.9775/kvfd.2019.23638","Organic","Chicken",12
"doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken",21
"doi.org/10.1016/j.ijfoodmicro.2019.108391","Organic","Chicken",42
"doi.org/10.3390/antibiotics10111321","Organic","Chicken",38
"doi.org/10.3390/pathogens10121630","Organic","Chicken",1
"dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken",6
"http://dx.doi.org/10.1155/2015/618752","Organic","Chicken",9
"https://doi.org/10.1016/j.japr.2021.100158","Organic","Chicken",21
"PMID: 22468028","Organic","Chicken",6
"DOI: 10.1016/j.crmicr.2021.100088","Conventional","Environment",6
"DOI: 10.1128/AEM.01419-13","Conventional","Environment",13
"doi: 10.1128/AEM.07723-11","Conventional","Environment",10
"DOI: 10.1289/ehp.1003350","Conventional","Environment",28
"DOI: 10.3390/antibiotics9110834","Conventional","Environment",5
"doi:10.2134/jeq2015.05.0245","Conventional","Environment",65
"DOI: 10.1016/j.crmicr.2021.100088","Organic","Environment",5
"doi: 10.1128/AEM.07723-11","Organic","Environment",17
"DOI: 10.1289/ehp.1003350","Organic","Environment",16
"DOI: 10.3390/antibiotics9110834","Organic","Environment",5
"doi:10.2134/jeq2015.05.0245","Organic","Environment",35
"DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs",25
"DOI: 10.1016/j.vetmic.2015.05.005","Conventional","Pigs",16
"DOI: 10.1089/fpd.2010.0665","Conventional","Pigs",24
"DOI: 10.1128/AEM.01419-13","Conventional","Pigs",17
"doi: 10.1128/AEM.07723-11","Conventional","Pigs",13
"doi: 10.1371/journal.pone.0157049","Conventional","Pigs",13
"DOI: 10.2376/0005-9366-127-135","Conventional","Pigs",36
"DOI: 10.2460/javma.231.2.275","Conventional","Pigs",15
"DOI: 10.2460/javma.236.2.201","Conventional","Pigs",36
"DOI: 10.4315/0362-028x-68.11.2402","Conventional","Pigs",29
"DOI: 10.4315/0362-028x-69.4.743","Conventional","Pigs",8
"doi.org/10.1016/j.envres.2021.110954","Conventional","Pigs",27
"doi.org/10.5713/ab.21.0232","Conventional","Pigs",38
"https://doi.org/10.1080/00480169.2008.36801","Conventional","Pigs",10
"https://doi.org/10.3389/fmicb.2017.00955","Conventional","Pigs",35
"PMID: 24053020","Conventional","Pigs",27
"DOI: 10.1016/j.vetmic.2015.05.005","Organic","Pigs",11
"DOI: 10.1089/fpd.2010.0665","Organic","Pigs",25
"doi: 10.1128/AEM.07723-11","Organic","Pigs",15
"doi: 10.1371/journal.pone.0157049","Organic","Pigs",6
"DOI: 10.2376/0005-9366-127-135","Organic","Pigs",35
"DOI: 10.2460/javma.231.2.275","Organic","Pigs",11
"DOI: 10.2460/javma.236.2.201","Organic","Pigs",16
"DOI: 10.4315/0362-028x-68.11.2402","Organic","Pigs",17
"DOI: 10.4315/0362-028x-69.4.743","Organic","Pigs",14
"doi.org/10.1016/j.envres.2021.110954","Organic","Pigs",12
"doi.org/10.5713/ab.21.0232","Organic","Pigs",31
"https://doi.org/10.1080/00480169.2008.36801","Organic","Pigs",1
"https://doi.org/10.3389/fmicb.2017.00955","Organic","Pigs",23
"DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey",46
"DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey",29
"DOI: 10.3382/ps/pev259","Organic","Turkey",16
