"doi","author","year","journal"
"https://doi.org/10.2460/javma.2005.226.589","Kenji et al.",2005,"Journal of American Veterinary Medical Association"
"DOI: 10.1016/j.vetmic.2015.05.005","Tamang et al.",2015,"Veterinary microbiology"
"https://doi.org/10.5713/ajas.2010.90345","Suriyasathaporn",2010,"Asian-Australasian Journal of Animal Sciences"
"DOI: 10.1016/j.crmicr.2021.100088","Omega et al.",2022,"Current research on microbial sciences"
"DOI: 10.3390/antibiotics9110834","Sjostrom et al.",2020,"Antibiotics"
"https://doi.org/10.3389/fmicb.2017.00955","Kempf et al.",2017,"Fronntiers in microbiology"
"doi: 10.1371/journal.pone.0157049","Osterberg et al.",2016,"plosOne"
"DOI: 10.2460/javma.236.2.201","Rollo et al.",2010,"Journal of American Veterinary Medical Association"
"DOI: 10.3382/ps/pev259","Horsny et al.",2015,"Poultry science"
"https://doi.org/10.1016/j.foodcont.2015.03.022","Economou et al.",2015,"Food control"
"DOI: 10.1089/107662903322541883","Tikofsky et al.",2003,"Microbial drug resistance"
"DOI: 10.1128/AEM.72.5.3600-3607.2006","Luangtongkum et al.",2006,"Applied and environmental microbiology"
"doi: 10.3390/ani10071215","Musa et al.",2020,"Animals"
"DOI: 10.3382/ps/pex275","Kim et al.",2018,"Poultry science"
"DOI: 10.1089/fpd.2010.0665","Tadesse et al",2011,"Foodborne pathogens and disease"
"DOI: 10.1111/j.1863-2378.2008.01151.x","Schwaiger et al.",2008,"Zoonoses and public health"
"DOI: 10.3390/ani10122217","Sanchez et al",2020,"Animals"
"https://doi.org/10.1016/j.japr.2021.100158","Kim et al.",2021,"Journal of applied poultry research"
"DOI: 10.4315/0362-028X.JFP-14-322","Kilonzo-Nthenge et al",2015,"Journal of food protection"
"DOI: 10.4315/0362-028X.JFP-19-269","Bailley et al",2020,"Journal of food protection"
"DOI: 10.4315/0362-028x-72.6.1165","Lestari et al.",2009,"Journal of food protection"
"DOI: 10.2460/javma.228.7.1074","Helbert et al.",2006,"Journal of American veterinary medical association"
"DOI: 10.4315/0362-028x-69.4.743","Gebreyes et al.",2006,"Journal of food protection"
"DOI: 10.4315/0362-028x-70.4.1021","Miranda et al",2007,"Journal of food protection"
"DOI: 10.4315/0362-028x-68.11.2402","Thakur et al.",2005,"Journal of food protection"
"DOI: 10.3168/jds.S0022-0302(06)72271-8","Ray et al",2006,"Journal of dairy science"
"DOI: 10.1016/j.prevetmed.2019.104755","Much et al",2019,"Preventive veterinary medicine"
"DOI: 10.1637/0005-2086(2007)051[0112:CIOPAA]2.0.CO;2","Siemon et al.",2007,"Avian diseases"
"doi: 10.1128/AEM.71.7.4108-4111.2005","Cui et al.",2005,"Applied environmental microbiology"
"DOI: 10.1089/fpd.2016.2161","Kassem et al.",2017,"Food pathogens and diseases"
"doi.org/10.3168/jds.S0022-0302(06)72164-6","Roesch, M., et al.",2006,"Journal of dairy science"
"DOI: 10.1016/j.scitotenv.2013.12.005","Sapkota, Amy R., et al.",2014,"Science of the Total Environmenmt"
"DOI: 10.1016/j.meatsci.2009.01.020","Miranda, J. M., et al.",2009,"Meat Science"
"DOI: 10.1016/j.ijantimicag.2005.09.020","Soonthornchaikul, Nantika, et al",2006,"International journal of antimicrobial agent"
"doi.org/10.1016/j.foodcont.2012.06.005","<c1>lvarez-Fern<e1>ndez, Elena, et al.",2013,"Food control"
"www.researchgate.net/publication/288728634","Boutet Philipe et al.",2005,"Ann Med Vet"
"doi: 10.17221/8721-VETMED","Boron, Lenaart et al",2016,"Veterinarni Medicina"
"https://doi.org/10.1111/j.1365-2672.2007.03681.x","Bombyk, R. A. M., et al.",2008,"Journal of Applied Microbiology"
"http://dx.doi.org/10.1155/2015/618752","Koga, Vanessa L., et al.",2015,"BioMed research international"
"DOI: 10.1128/AEM.01419-13","Keelara, Shivaramu, et al.",2013,"Applied and Environmental Microbiology"
"https://doi.org/10.1080/00480169.2008.36801","Nulsen, M. F., M. B. Mor, and D. E. B. Lawton.",2008,"New Zealand Veterinary Journal"
"DOI: 10.2460/javma.231.2.275","Bunner, Christine A., et al.",2007,"Journal of the American Veterinary Medical Association"
"DOI: 10.2376/0005-9366-127-135","Buntenkoetter, Vitus, et al.",2014,"Berliner und Munchener Tierarztliche Wochenschrift"
"PMID: 22468028","Thibodeau, Alexandre, et al",2011,"Canadian Journal of Veterinary Research"
"DOI: 10.1289/ehp.1003350","Sapkota, Amy R., et al.",2011,"Environmental Health"
"DOI: 10.1089=fpd.2008.0171","Han, Feifei, et al.",2009,"Foodborne pathogens and diseases"
"DOI: 10.1089/fpd.2010.0566","Alali, Walid Q., et al.",2010,"Foodborne pathogens and diseases"
"DOI: 10.1089/fpd.2011.0852","Zhang, Jiayi, et al.",2011,"Foodborne pathogens and diseases"
"doi: 10.3389/fvets.2021.607491","Cui, Lulu, et al.",2021,"Frontiers in Veterinary Science"
"DOI: 10.1089=fpd.2010.0632","Morley, Paul S., et al",2011,"Foodborne pathogens and diseases"
"doi: 10.3382/ps.2013-03729.","Fraqueza, M. J., et al",2014,"Poultry science"
"DOI: 10.9775/kvfd.2019.23638","G<dc>C<dc>KOGLU, Ali, et al",2020,"Kafkas <dc>niversitesi Veteriner Fak<fc>ltesi Dergisi"
"doi: 10.4315/0362-028x-69.3.482.","Halbert, Lisa W., et al",2006,"Journal of food protection"
"DOI: 10.1111/jfs.12588","Incili, G<f6>khan K<fc>rsad, et al",2019,"Journal of food safety"
"DOI: 10.4315/0362-028x-67.7.1433","LeJEUNE, JEFFREY T.",2004,"Journal of food protection"
"DOI: 10.1016/j.ijfoodmicro.2013.01.020","Li, Ruichao, et al.",2013,"International journal of food microbiology"
"PMID: 24053020","Mazurek, Justyna, et al.",2013,"Pol. J. Microbiol"
"DOI: 10.4315/0362-028x-71.12.2537","Miranda, J. M., et al.",2008,"Journal of food protection"
"doi.org/10.1080/11358120902907014","Miranda, J. M., et al.",2009,"CyTA<U+0096>Journal of Food"
"doi.org/10.5713/ab.21.0232","Mitchaothai, J., & Srikijkasemwat, K.",2022,"Animal Bioscience"
"doi: 10.3390/antibiotics9100701","SM, Jajere et al",2020,"Antibiotics"
"DOI: 10.1016/j.psj.2019.10.027","Mughini-Gras, Lapo, et al.",2020,"Poultry Science"
"doi.org/10.3390/antibiotics10111321","Musa, Laura, et al.",2021,"Antibiotics"
"doi.org/10.1016/j.ijfoodmicro.2019.108391","Pesciaroli, Michele, et al",2020,"International journal of food microbiology"
"doi: 10.1128/AEM.07723-11","Hayashi and Thakur",2012,"Applied and environmental microbiology"
"dx.doi.org/ 10.3382/ps.2013-03175","Lee, Soo-Kyoung, et al.",2013,"Poultry Science"
"doi.org/10.1016/j.envres.2021.110954","Rhodes, Sarah, et al.",2021,"Environmental Research"
"doi.org/10.3168/jds.2017-12939","Tenhagen et al.",2018,"Journal of dairy science"
"DOI: 10.1111/j.1863-2378.2008.01229.x","Schwaiger et al.",2010,"Zoonoses and public health"
"doi:10.2134/jeq2015.05.0245","Zwonitzer et al..",2016,"Journal of environmental quality"
"doi.org/10.3390/pathogens10121630","Hansson, Ingrid, et al.",2021,"Pathogens"
"doi.org/10.1016/j.foodcont.2021.108738","Rama et al.",2022,"Food control"
